Giving Entity ID,FamilyID,Full Name,First Name,Last Name,Email Address,Email Address 2,Full Address,Street Address,City,State,ZIP,Phone Number,Child(ren) Enrolled,Photo Release Signed?,Connection,Center,Send via,Phrase,ALIVE,In/Out,Total Donated,Number of Donations,Date of Most Recent Donation,Amount of Most Recent Donation,Cause of Most Recent Gift,Most Recent Thank You Letter Sent,NOTES,TAGS,,
FAM0004,FID0001,Aubrey Parker 593,Aubrey,Parker,donor593@example.com,,"1693 Main St, City1593, ST, 90001593",1693 Main St,City593,ST,9000593,555-000-593,ChildA-1593,,Former Parent,C-JP,post,see attached,Living,In,$20.00 ,1,2/28/2020,$20.00 ,,,,,,
FAM0004,FID0001,Harper Taylor 1495,Harper,Taylor,donor1495@example.com,,"1693 Main St, City1593, ST, 90001593",1693 Main St,City1495,ST,90001495,555-000-1495,ChildA-1593,,Former Parent,C-JP,post,see attached,Living,In,$100.00 ,1,1/28/2020,$100.00 ,,,,,,
FAM0006,FID0002,Casey Morris 1124,Casey,Morris,donor1124@example.com,,"1236 Main St, City1136, ST, 90001136",1236 Main St,City1124,ST,90001124,555-000-1124,ChildA-1136,,Former Parent,C-JP,post,see attached,Living,In,,,,,,,,,,
FAM0006,FID0002,Dakota King 136,Dakota,King,donor136@example.com,,"1236 Main St, City1136, ST, 90001136",1236 Main St,City136,ST,9000136,555-000-136,ChildA-1136,,Former Parent,C-JP,post,see attached,Living,In,,,,,,,,,,
FAM0014,FID0003,Corey Nguyen 747,Corey,Nguyen,donor747@example.com,,"1847 Main St, City1747, ST, 90001747",1847 Main St,City747,ST,9000747,,ChildA-1747,,Former Parent,C-JP,post,see attached,Living,In,,,,,,,,,,
FAM0014,FID0003,Drew White 1327,Drew,White,donor1327@example.com,,"1847 Main St, City1747, ST, 90001747",1847 Main St,City1327,ST,90001327,555-000-1327,ChildA-1747,,Former Parent,C-JP,post,see attached,Living,In,,,,,,,,,,
FAM0016,FID0004,Jamie Perez 806,Jamie,Perez,donor806@example.com,,"1141 Main St, City1041, ST, 90001041",1141 Main St,City806,ST,9000806,555-000-806,ChildA-1041,Yes,Parent,C-HP,post,see attached,Living,In,$100.00 ,1,2/15/2020,$100.00 ,,,,,,
FAM0016,FID0004,Jordan Campbell 41,Jordan,Campbell,donor41@example.com,,"1141 Main St, City1041, ST, 90001041",1141 Main St,City41,ST,900041,555-000-41,ChildA-1041,Yes,Parent,C-HP,post,see attached,Living,In,$100.00 ,1,2/15/2020,$100.00 ,,,,,,
FAM0022,FID0005,Aubrey Brown 1113,Aubrey,Brown,donor1113@example.com,,"1949 Main St, City1849, ST, 90001849",1949 Main St,City1113,ST,90001113,,ChildA-1849,,Former Parent,C-LCV,post,see attached,Living,In,$100.00 ,1,5/6/2015,$100.00 ,,,,,,
FAM0022,FID0005,Skylar Johnson 849,Skylar,Johnson,donor849@example.com,,"1949 Main St, City1849, ST, 90001849",1949 Main St,City849,ST,9000849,555-000-849,ChildA-1849,,Former Parent,C-LCV,post,see attached,Living,In,$100.00 ,1,5/6/2015,$100.00 ,,,,,,
