EntityID,Entity Name,Primary Contact,Secondary Contact,Primary Email,Secondary Email,Entity Type,Active?,Address,Child(ren) Enrolled,Total Donated,Number of Donations,Date of Most Recent Donation,Amount of Most Recent Donation,Preferred Fundraiser(s),Notes,,,,,,,,,,,,
FAM0004,Aubrey Parker and Harper Taylor,Harper Taylor 1495,Aubrey Parker,donor1495@example.com,donor593@example.com,Family,Living,"1693 Main St, City1593, ST, 90001593",ChildA-1593,$100.00 ,1,1/28/2020,$100.00 ,,,,,,,,,,,,,,
FAM0004,Aubrey Parker and Harper Taylor,Aubrey Parker 593,Harper Taylor,donor593@example.com,donor1495@example.com,Family,Living,"1693 Main St, City1593, ST, 90001593",ChildA-1593,$20.00 ,1,2/28/2020,$20.00 ,,,,,,,,,,,,,,
FAM0006,Dakota King and Casey Morris,Casey Morris 1124,Dakota King,donor1124@example.com,donor136@example.com,Family,Living,"1236 Main St, City1136, ST, 90001136",ChildA-1136,,,,,,,,,,,,,,,,,,
FAM0006,Dakota King and Casey Morris,Dakota King 136,Casey Morris,donor136@example.com,donor1124@example.com,Family,Living,"1236 Main St, City1136, ST, 90001136",ChildA-1136,,,,,,,,,,,,,,,,,,
FAM0008,Logan Johnson and Morgan Murphy,Morgan Murphy 283,Logan Johnson,donor283@example.com,donor58@example.com,Family,Living,"1158 Main St, City1058, ST, 90001058",,,,,,,,,,,,,,,,,,,
FAM0008,Logan Johnson and Morgan Murphy,Logan Johnson 58,Morgan Murphy,donor58@example.com,donor283@example.com,Family,Living,"1158 Main St, City1058, ST, 90001058",,,,,,,,,,,,,,,,,,,
FAM0012,Sawyer Phillips and Milan Roberts,Milan Roberts 1437,Sawyer Phillips,donor1437@example.com,donor79@example.com,Family,Living,"1179 Main St, City1079, ST, 90001079",,,,,,,,,,,,,,,,,,,
FAM0012,Sawyer Phillips and Milan Roberts,Sawyer Phillips 79,Milan Roberts,donor79@example.com,donor1437@example.com,Family,Living,"1179 Main St, City1079, ST, 90001079",,,,,,,,,,,,,,,,,,,
FAM0014,Corey Nguyen and Drew White,Drew White 1327,Corey Nguyen,donor1327@example.com,donor747@example.com,Family,Living,"1847 Main St, City1747, ST, 90001747",ChildA-1747,,,,,,,,,,,,,,,,,,
FAM0014,Corey Nguyen and Drew White,Corey Nguyen 747,Drew White,donor747@example.com,donor1327@example.com,Family,Living,"1847 Main St, City1747, ST, 90001747",ChildA-1747,,,,,,,,,,,,,,,,,,
