ChildID,Name,Birthdate,RateType,Enrolled,StartDate,EndDate,FamilyID,PrimaryPayerID,SecondaryPayerID
ChildA-1593,William Wagner,3/27/2008,City,Graduated,11/3/2009,3/26/2013,FID0001,FAM0004,FAM0004
ChildA-1747,Jacob Jones,1/2/2017,Community,Graduated,5/30/2020,7/22/2021,FID0003,FAM0014,FAM0014
ChildA-1849,Jessica Villa,8/19/1997,Community,Graduated,12/2/1999,8/18/2002,FID0005,FAM0022,FAM0022
ChildA-1308,Matthew Lang,2/8/2002,Community,Graduated,3/12/2003,2/7/2007,FID0006,FAM0024,FAM0024
ChildA-1236,Regina Johnson,12/7/2006,Community,Graduated,5/18/2007,12/6/2011,FID0007,FAM0030,FAM0030
ChildA-1208,Jose Gomez,12/1/2009,City,Graduated,12/26/2013,11/30/2014,FID0008,FAM0034,FAM0034
ChildA-1403,Lauren Evans,9/11/2006,City,Graduated,11/29/2010,9/10/2011,FID0009,FAM0045,FAM0045
ChildA-1591,Richard Hicks,3/26/2013,City,Graduated,2/10/2015,3/25/2018,FID0010,FAM0047,FAM0047
ChildA-1840,Walter Sanchez,1/14/2012,City,Graduated,1/30/2015,1/12/2017,FID0011,FAM0053,FAM0053
ChildA-2331,Alejandra Caldwell,5/29/2017,City,Removed,1/26/2019,8/9/2020,FID0012,FAM0055,FAM0055
ChildA-1059,Robert Baker,1/30/2017,City,Graduated,6/11/2019,1/26/2021,FID0013,FAM0059,FAM0059
ChildA-1483,Carrie Giles,6/24/2009,Community,Graduated,5/30/2012,6/23/2014,FID0014,FAM0063,FAM0063
ChildA-1805,Gwendolyn Le,3/25/2004,Federal,Graduated,11/14/2007,3/24/2009,FID0015,FAM0065,FAM0065
ChildA-1334,Julie Richardson,6/7/2017,City,Graduated,7/22/2021,6/6/2022,FID0016,FAM0067,FAM0067
ChildA-1010,Donald Hicks,10/28/2020,Community,Enrolled,1/17/2025,,FID0017,FAM0069,FAM0069
ChildA-2165,Billy Hernandez,7/26/2010,City,Graduated,3/31/2015,7/25/2015,FID0018,FAM0073,FAM0073
ChildA-1472,Lisa Smith,12/8/2019,Community,Graduated,10/4/2023,3/20/2024,FID0019,FAM0075,FAM0075
ChildA-1657,Nicholas Donaldson,7/15/2006,Community,Graduated,10/14/2010,7/14/2011,FID0020,FAM0077,FAM0077
ChildA-1602,Julie Smith,3/27/2000,Federal,Graduated,1/14/2004,3/26/2005,FID0021,FAM0080,FAM0080
ChildA-1037,Edward Conner,10/1/2010,Federal,Graduated,4/10/2012,9/30/2015,FID0022,FAM0082,FAM0082
ChildA-1406,Diane Cobb,3/14/1998,Community,Graduated,4/1/2000,3/13/2003,FID0023,FAM0084,FAM0084
ChildA-1276,Gerald Dixon,7/4/2021,Community,Enrolled,11/12/2023,,FID0024,FAM0093,FAM0093
ChildA-1466,Jeffrey Garcia,10/17/2022,Community,Enrolled,4/5/2024,,FID0025,FAM0095,FAM0095
ChildA-1369,Edward Downs,12/22/2008,City,Graduated,8/12/2010,12/21/2013,FID0026,FAM0101,FAM0101
ChildA-1151,Denise Strong,5/19/2014,Community,Graduated,1/22/2018,5/18/2019,FID0027,FAM0110,FAM0110
ChildA-1729,Linda Mueller,2/18/2017,City,Graduated,3/6/2021,2/17/2022,FID0028,FAM0116,FAM0116
ChildA-2057,Mark Castro,4/8/2012,City,Graduated,12/23/2016,4/7/2017,FID0029,FAM0118,FAM0118
ChildA-1912,Sara Ellis,6/26/1995,Community,Graduated,10/8/1999,6/24/2000,FID0030,FAM0131,FAM0131
ChildA-1870,Billy Reynolds,3/24/2007,Community,Graduated,2/7/2012,3/22/2012,FID0031,FAM0133,FAM0133
ChildA-1340,Jennifer Kim,7/31/2005,Community,Graduated,12/6/2007,7/30/2010,FID0032,FAM0135,FAM0135
ChildA-2130,Julia Walker,3/10/2016,City,Graduated,12/26/2016,3/9/2021,FID0033,FAM0139,FAM0139
ChildA-2183,Kenneth Cole,6/11/2021,Community,Enrolled,8/10/2024,,FID0034,FAM0146,FAM0146
ChildA-1293,Javier Travis,8/18/2016,City,Graduated,1/23/2021,8/17/2021,FID0035,FAM0148,FAM0148
ChildA-1018,Amy Reilly,10/5/2015,Community,Graduated,3/14/2018,10/3/2020,FID0036,FAM0152,FAM0152
ChildA-1266,Shari Herrera,4/8/1996,Community,Graduated,8/9/1998,4/7/2001,FID0037,FAM0157,FAM0157
ChildA-1631,Stacey Morrow,11/13/2003,Federal,Graduated,5/25/2007,11/11/2008,FID0038,FAM0159,FAM0159
ChildA-1609,Walter Palmer,6/21/2016,City,Graduated,8/26/2018,6/20/2021,FID0039,FAM0173,FAM0173
ChildA-1520,Kayla Miller,8/27/2023,Community,Enrolled,12/10/2023,,FID0040,FAM0175,FAM0175
ChildA-1642,Stacy Reyes,10/7/2000,Community,Graduated,10/14/2004,10/6/2005,FID0041,FAM0177,FAM0177
ChildA-2270,Brenda Parker,3/31/2021,Community,Enrolled,10/27/2024,,FID0042,FAM0179,FAM0179
ChildA-1802,Gina Ponce,12/10/1997,Community,Graduated,6/10/1999,12/9/2002,FID0043,FAM0181,FAM0181
ChildA-2174,William Beck,1/31/2020,City,Graduated,12/26/2021,1/29/2025,FID0044,FAM0188,FAM0188
ChildA-1026,Amanda French,6/10/2017,Community,Graduated,12/8/2019,6/9/2022,FID0045,FAM0190,FAM0190
ChildA-1885,John Dorsey,8/15/2011,City,Graduated,7/11/2016,8/13/2016,FID0045,FAM0197,FAM0197
ChildA-1885,Denise Frank,1/20/2016,City,Graduated,3/22/2018,1/18/2021,FID0046,FAM0197,FAM0197
ChildA-1656,Heather Morris,5/25/2022,Community,Enrolled,3/11/2024,,FID0047,FAM0200,FAM0200
ChildA-1700,Richard Warren,3/10/2016,City,Graduated,11/22/2018,3/9/2021,FID0048,FAM0204,FAM0204
ChildA-2132,Tiffany Mitchell,9/5/2011,City,Graduated,8/9/2013,9/3/2016,FID0048,FAM0206,FAM0206
ChildA-2132,Jennifer Cox,11/25/2020,Community,Graduated,1/26/2023,8/31/2024,FID0049,FAM0206,FAM0206
ChildA-1469,Angela Chapman,3/19/2020,Community,Graduated,2/20/2024,3/18/2025,FID0049,FAM0210,FAM0210
ChildA-1469,Christopher Johnson,4/2/2021,Community,Graduated,5/25/2024,6/29/2024,FID0050,FAM0210,FAM0210
ChildA-1461,Stacy Willis,5/11/2001,Community,Graduated,5/5/2006,5/10/2006,FID0051,FAM0215,FAM0215
ChildA-1461,Samuel Wilson,7/8/2011,Community,Graduated,5/15/2014,7/6/2016,FID0050,FAM0215,FAM0215
ChildA-1629,John Perkins,3/10/2017,City,Graduated,7/12/2020,3/9/2022,FID0052,FAM0217,FAM0217
ChildA-1629,Andrew Fitzgerald,3/30/2016,City,Graduated,8/22/2020,3/29/2021,FID0051,FAM0217,FAM0217
ChildA-1718,Cathy Warner,6/20/2006,Community,Graduated,3/13/2007,6/19/2011,FID0052,FAM0219,FAM0219
ChildA-1718,Samantha Adams,6/24/2013,Community,Graduated,10/8/2013,6/23/2018,FID0053,FAM0219,FAM0219
ChildA-2163,Ross Davis,6/24/2011,City,Graduated,2/11/2014,6/22/2016,FID0053,FAM0225,FAM0225
ChildA-2163,Cassidy Alexander,5/24/2013,City,Removed,11/29/2015,12/8/2016,FID0054,FAM0225,FAM0225
ChildA-1968,Megan Horn,8/10/2010,City,Graduated,12/27/2014,8/9/2015,FID0055,FAM0234,FAM0234
ChildA-1968,Donna Hart,11/13/2015,City,Graduated,10/19/2019,11/11/2020,FID0054,FAM0234,FAM0234
ChildA-1025,Victoria Myers,9/16/2000,Community,Graduated,8/4/2002,9/15/2005,FID0055,FAM0247,FAM0247
ChildA-1025,Brian Williams,10/24/2012,Community,Graduated,10/6/2014,10/23/2017,FID0056,FAM0247,FAM0247
ChildA-1045,Michael Patterson,8/14/2010,City,Graduated,4/9/2013,8/13/2015,FID0057,FAM0251,FAM0251
ChildA-1669,Ryan Hall,7/30/2019,City,Graduated,1/9/2021,7/5/2023,FID0058,FAM0254,FAM0254
ChildA-1754,Douglas Smith,9/25/1995,Community,Graduated,1/16/1998,9/23/2000,FID0059,FAM0256,FAM0256
ChildA-1209,Cynthia Clark,1/26/2013,City,Graduated,4/6/2017,1/25/2018,FID0060,FAM0264,FAM0264
ChildA-1199,Daniel Jones,11/7/2011,Community,Graduated,6/12/2016,11/5/2016,FID0061,FAM0267,FAM0267
ChildA-1939,Matthew Campbell,4/30/2013,City,Graduated,1/21/2018,4/29/2018,FID0062,FAM0272,FAM0272
ChildA-1402,Jeffrey Hayes,7/27/2009,City,Graduated,12/2/2010,7/26/2014,FID0063,FAM0274,FAM0274
ChildA-1760,Jennifer James,8/12/2011,Community,Graduated,12/3/2014,8/10/2016,FID0064,FAM0277,FAM0277
ChildA-1064,Mark Fleming,6/2/1998,Community,Graduated,9/13/1998,6/1/2003,FID0065,FAM0280,FAM0280
ChildA-1957,Brian Harris,4/8/2015,City,Graduated,4/10/2019,4/6/2020,FID0066,FAM0282,FAM0282
ChildA-1473,William Cox,4/17/2020,Community,Graduated,1/14/2025,4/16/2025,FID0067,FAM0284,FAM0284
ChildA-2025,Valerie Butler,8/21/2017,Community,Graduated,6/19/2021,8/20/2022,FID0068,FAM0297,FAM0297
ChildA-1744,Allen Arellano,2/2/2019,City,Graduated,7/14/2021,2/1/2024,FID0069,FAM0299,FAM0299
ChildA-1399,Christopher Marshall,5/28/2007,Community,Graduated,12/15/2008,5/26/2012,FID0070,FAM0303,FAM0303
ChildA-1230,Brett Moran,6/4/2023,Community,Graduated,6/14/2024,9/26/2024,FID0071,FAM0305,FAM0305
ChildA-1528,Michelle Andrade,3/17/2007,City,Graduated,3/11/2012,3/15/2012,FID0072,FAM0307,FAM0307
