Donation ID,Giving Entity ID,Fundraiser,Amount Donated,Date,Type of Gift,Donor Name,Type of Donor,Earmarked Fund,Center,"""Thank You"" sent?",Matching Info,Notes,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1511-20050706-0001,UNK1511,Book Fair 2005,$274.60 ,7/6/2005,Book Sale,"Books Are Fun, Ltd.",Corporate,Unrestricted,All Centers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1511-20050706-0002,UNK1511,Book Fair 2005,$724.15 ,7/6/2005,Book Sale,"Books Are Fun, Ltd.",Corporate,Unrestricted,All Centers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1511-20050916-0001,UNK1511,Book Fair 2005,$406.23 ,9/16/2005,Book Sale,"Books Are Fun, Ltd.",Corporate,Unrestricted,All Centers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1511-20051003-0001,UNK1511,Book Fair 2005,$574.27 ,10/3/2005,Book Sale,"Books Are Fun, Ltd.",Corporate,Unrestricted,All Centers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1511-20090506-0001,UNK1511,Book Fair 2009,$500.00 ,5/6/2009,Book Sale,"Books Are Fun, Ltd.",Corporate,Unrestricted,All Centers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1511-20090921-0001,UNK1511,Book Fair 2009,$405.00 ,9/21/2009,Book Sale,"Books Are Fun, Ltd.",Corporate,Unrestricted,All Centers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1573-20080904-0001,UNK1573,Book Fair 2008,$412.50 ,9/4/2008,Book Sale,Ziggurat Child Development,Corporate,Unrestricted,All Centers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1573-20100521-0001,UNK1573,Book Fair 2010,$105.44 ,5/21/2010,Book Sale,Ziggurat Child Development,Corporate,Unrestricted,All Centers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1573-20100521-0002,UNK1573,Book Fair 2010,$330.06 ,5/21/2010,Book Sale,Ziggurat Child Development,Corporate,Unrestricted,All Centers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISC-20060710-0001,,Book Fair 2006,$803.39 ,7/10/2006,Book Sale,Booth Customer,Personal,Unrestricted,All Centers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISC-20241231-0001,FAM0020,Appeal Letter 2025,$477.56 ,12/31/2024,Direct Donation,Jamie Taylor 846,Personal,Unrestricted,C-Corp,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0020-20240513-0001,FAM0020,Blake's Mailer,$520.00 ,5/13/2024,Direct Donation,Corey Perez 307,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0020-20190125-0001,FAM0020,In Pat's Memory,$500.00 ,1/25/2019,Direct Donation,Corey Perez 307,Personal,PGSF,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0020-20191231-0001,FAM0020,In Pat's Memory,$500.00 ,12/31/2019,Direct Donation,Jamie Taylor 846,Personal,PGSF,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0020-20111221-0001,FAM0020,Letter Campaign 2011,$50.00 ,12/21/2011,Direct Donation,Corey Perez 307,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0020-20161231-0001,FAM0020,Pat Griffith Scholarship Fund Creation,$500.00 ,12/31/2016,Direct Donation,Jamie Taylor 846,Personal,PGSF,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0020-20171228-0001,FAM0020,PGSF Letter Campaign 2017,$500.00 ,12/28/2017,Direct Donation,Jamie Taylor 846,Personal,PGSF,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0020-20211231-0001,FAM0020,Unprompted,$500.00 ,12/31/2021,Direct Donation,Corey Perez 307,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0020-20230201-0001,FAM0020,Unprompted,$500.00 ,2/1/2023,Direct Donation,Corey Perez 307,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0043-20240430-0001,FAM0043,Blake's Mailer,$511.66 ,4/30/2024,In-Kind (Printing Costs),Blake Scott 824,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0043-20180910-0001,FAM0043,In Pat's Memory,"$10,000.00 ",9/10/2018,Direct Donation,Eden Taylor 1315,Personal,PGSF,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0043-20191107-0001,FAM0043,In Pat's Memory,"$10,000.00 ",11/7/2019,Direct Donation,Eden Taylor 1315,Personal,PGSF,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0043-20201231-0001,FAM0043,In Pat's Memory,"$10,000.00 ",12/31/2020,Direct Donation,Eden Taylor 1315,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0043-20211231-0001,FAM0043,In Pat's Memory,"$10,000.00 ",12/31/2021,Direct Donation,Eden Taylor 1315,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0043-20070118-0001,FAM0043,Letter Campaign 2006,"$1,000.00 ",1/18/2007,Direct Donation,Eden Taylor 1315,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0043-20061213-0001,FAM0043,Letter Campaign 2006,"$2,500.00 ",12/13/2006,Direct Donation,Milan Torres 1157,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0043-20080103-0002,FAM0043,Letter Campaign 2007,"$1,000.00 ",1/3/2008,Direct Donation,Eden Taylor 1315,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0043-20080103-0001,FAM0043,Letter Campaign 2007,"$2,500.00 ",1/3/2008,Direct Donation,Milan Torres 1157,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0043-20090102-0001,FAM0043,Letter Campaign 2008,"$2,000.00 ",1/2/2009,Direct Donation,Eden Taylor 1315,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0043-20081222-0001,FAM0043,Letter Campaign 2008,"$2,500.00 ",12/22/2008,Direct Donation,Milan Torres 1157,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0043-20100127-0001,FAM0043,Letter Campaign 2009,"$1,000.00 ",1/27/2010,Direct Donation,Eden Taylor 1315,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0043-20091215-0001,FAM0043,Letter Campaign 2009,"$5,000.00 ",12/15/2009,Direct Donation,Milan Torres 1157,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0043-20110126-0001,FAM0043,Letter Campaign 2010,"$1,500.00 ",1/26/2011,Direct Donation,Eden Taylor 1315,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0043-20101223-0001,FAM0043,Letter Campaign 2010,"$5,000.00 ",12/23/2010,Direct Donation,Milan Torres 1157,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0043-20120110-0001,FAM0043,Letter Campaign 2011,"$1,500.00 ",1/10/2012,Direct Donation,Eden Taylor 1315,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0043-20111223-0001,FAM0043,Letter Campaign 2011,"$5,000.00 ",12/23/2011,Direct Donation,Milan Torres 1157,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0043-20130107-0001,FAM0043,Letter Campaign 2012,"$1,000.00 ",1/7/2013,Direct Donation,Eden Taylor 1315,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0043-20121226-0001,FAM0043,Letter Campaign 2012,"$5,000.00 ",12/26/2012,Direct Donation,Milan Torres 1157,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0043-20131218-0001,FAM0043,Letter Campaign 2013,"$5,000.00 ",12/18/2013,Direct Donation,Milan Torres 1157,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0043-20141222-0001,FAM0043,Letter Campaign 2014,"$5,000.00 ",12/22/2014,Direct Donation,Milan Torres 1157,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0043-20160119-0001,FAM0043,Letter Campaign 2015,"$1,000.00 ",1/19/2016,Direct Donation,Eden Taylor 1315,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0043-20151224-0001,FAM0043,Letter Campaign 2015,"$5,000.00 ",12/24/2015,Direct Donation,Milan Torres 1157,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0016-20200215-0001,FAM0016,Training and Staff Development; CAAEYC 2020,$100.00 ,2/15/2020,Direct Donation,Jordan Campbell 41,Personal,Unrestricted,C-JP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0004-20200228-0001,FAM0004,Training and Staff Development; CAAEYC 2020,$20.00 ,2/28/2020,Direct Donation,Aubrey Parker 593,Personal,Unrestricted,C-LCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0004-20200128-0001,FAM0004,Training and Staff Development; CAAEYC 2020,$100.00 ,1/28/2020,Direct Donation,Harper Taylor 1495,Personal,Unrestricted,C-LCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0022-20150506-0001,FAM0022,Music Class Fundraiser,$100.00 ,5/6/2015,Direct Donation,Skylar Johnson 849,Personal,Unrestricted,C-LCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0043-20170118-0001,FAM0043,Pat Griffith Scholarship Fund Creation,"$5,000.00 ",1/18/2017,Direct Donation,Eden Taylor 1315,Personal,PGSF,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0043-20080728-0001,FAM0043,Phoneraiser 2008,$250.00 ,7/28/2008,Direct Donation,Milan Torres 1157,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0043-20150311-0001,FAM0043,Unprompted,"$1,000.00 ",3/11/2015,Direct Donation,Eden Taylor 1315,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0075-20161203-0001,FAM0075,Pat Griffith Scholarship Fund Creation,$25.00 ,12/3/2016,Direct Donation,Kendall Clark 472,Personal,PGSF,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0105-20161227-0001,FAM0105,Pat Griffith Scholarship Fund Creation,$100.00 ,12/27/2016,Direct Donation,Harper Thompson 695,Personal,PGSF,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0161-20190125-0001,FAM0161,In Pat's Memory,$200.00 ,1/25/2019,Direct Donation,Brooklyn Phillips 1154,Personal,PGSF,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0161-20161207-0001,FAM0161,Pat Griffith Scholarship Fund Creation,$400.00 ,12/7/2016,Direct Donation,Brooklyn Phillips 1154,Personal,PGSF,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0161-20171222-0001,FAM0161,PGSF Letter Campaign 2017,$100.00 ,12/22/2017,Direct Donation,Brooklyn Phillips 1154,Personal,PGSF,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0177-20111229-0001,FAM0177,Letter Campaign 2011,$150.00 ,12/29/2011,Direct Donation,Corey Walker 867,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0177-20121228-0001,FAM0177,Letter Campaign 2012,$300.00 ,12/28/2012,Direct Donation,Corey Walker 867,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0177-20131218-0002,FAM0177,Letter Campaign 2013,$300.00 ,12/18/2013,Direct Donation,Taylor Wright 642,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0184-20190125-0001,FAM0184,In Pat's Memory,$50.00 ,1/25/2019,Direct Donation,Sam Collins 285,Personal,PGSF,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0223-20190125-0001,FAM0223,In Pat's Memory,$250.00 ,1/25/2019,Direct Donation,Blake Stewart 1424,Personal,PGSF,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0223-20130311-0001,FAM0223,Letter Campaign 2012,$100.00 ,3/11/2013,Direct Donation,Blake Stewart 1424,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0223-20131222-0001,FAM0223,Letter Campaign 2013,$250.00 ,12/22/2013,Direct Donation,Blake Stewart 1424,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0223-20141231-0001,FAM0223,Letter Campaign 2014,$200.00 ,12/31/2014,Direct Donation,Blake Stewart 1424,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0223-20161231-0001,FAM0223,Pat Griffith Scholarship Fund Creation,$300.00 ,12/31/2016,Direct Donation,Blake Stewart 1424,Personal,PGSF,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0223-20171231-0001,FAM0223,PGSF Letter Campaign 2017,$250.00 ,12/31/2017,Direct Donation,Blake Stewart 1424,Personal,PGSF,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0288-20170125-0001,FAM0288,Pat Griffith Scholarship Fund Creation,$100.00 ,1/25/2017,Direct Donation,Logan Scott 138,Personal,PGSF,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0340-20181228-0001,FAM0340,In Pat's Memory,$200.00 ,12/28/2018,Direct Donation,Drew Lewis 1287,Personal,PGSF,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0340-20191227-0001,FAM0340,In Pat's Memory,$200.00 ,12/27/2019,Direct Donation,Taylor Walker 922,Personal,PGSF,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0340-20100202-0001,FAM0340,Letter Campaign 2009,$100.00 ,2/2/2010,Direct Donation,Taylor Walker 922,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0340-20110117-0001,FAM0340,Letter Campaign 2010,$100.00 ,1/17/2011,Direct Donation,Drew Lewis 1287,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0340-20111227-0001,FAM0340,Letter Campaign 2011,$100.00 ,12/27/2011,Direct Donation,Taylor Walker 922,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
